id,name,object-type,incident-date,procedure.tactic,procedure.technique,target,actor,mitigation
AML.CS0025,Web-Scale Data Poisoning: Split-View Attack,case-study,2024-06-06,Resource Development,Datasets,10 web-scale datasets,"Researchers from Google Deepmind, ETH Zurich, NVIDIA, Robust Intelligence, and Google",Limit Model Artifact Release
AML.CS0025,Web-Scale Data Poisoning: Split-View Attack,case-study,2024-06-06,Resource Development,AML.T0008.002,10 web-scale datasets,"Researchers from Google Deepmind, ETH Zurich, NVIDIA, Robust Intelligence, and Google",
AML.CS0025,Web-Scale Data Poisoning: Split-View Attack,case-study,2024-06-06,Resource Development,Poison Training Data,10 web-scale datasets,"Researchers from Google Deepmind, ETH Zurich, NVIDIA, Robust Intelligence, and Google",Maintain AI Dataset Provenance
AML.CS0025,Web-Scale Data Poisoning: Split-View Attack,case-study,2024-06-06,Resource Development,Publish Poisoned Datasets,10 web-scale datasets,"Researchers from Google Deepmind, ETH Zurich, NVIDIA, Robust Intelligence, and Google",AI Bill of Materials
AML.CS0025,Web-Scale Data Poisoning: Split-View Attack,case-study,2024-06-06,Impact,AML.T0059,10 web-scale datasets,"Researchers from Google Deepmind, ETH Zurich, NVIDIA, Robust Intelligence, and Google",
AML.CS0025,Web-Scale Data Poisoning: Split-View Attack,case-study,2024-06-06,Impact,Erode AI Model Integrity,10 web-scale datasets,"Researchers from Google Deepmind, ETH Zurich, NVIDIA, Robust Intelligence, and Google",Adversarial Input Detection
AML.CS0026,Financial Transaction Hijacking with M365 Copilot as an Insider,case-study,2024-08-08,Reconnaissance,Gather RAG-Indexed Targets,Microsoft 365 Copilot,Zenity,
AML.CS0026,Financial Transaction Hijacking with M365 Copilot as an Insider,case-study,2024-08-08,AI Model Access,AI-Enabled Product or Service,Microsoft 365 Copilot,Zenity,AI Telemetry Logging
AML.CS0026,Financial Transaction Hijacking with M365 Copilot as an Insider,case-study,2024-08-08,Discovery,Special Character Sets,Microsoft 365 Copilot,Zenity,
AML.CS0026,Financial Transaction Hijacking with M365 Copilot as an Insider,case-study,2024-08-08,Discovery,System Instruction Keywords,Microsoft 365 Copilot,Zenity,
AML.CS0026,Financial Transaction Hijacking with M365 Copilot as an Insider,case-study,2024-08-08,Resource Development,Retrieval Content Crafting,Microsoft 365 Copilot,Zenity,
AML.CS0026,Financial Transaction Hijacking with M365 Copilot as an Insider,case-study,2024-08-08,Resource Development,LLM Prompt Crafting,Microsoft 365 Copilot,Zenity,
AML.CS0026,Financial Transaction Hijacking with M365 Copilot as an Insider,case-study,2024-08-08,Initial Access,Exploit Public-Facing Application,Microsoft 365 Copilot,Zenity,
AML.CS0026,Financial Transaction Hijacking with M365 Copilot as an Insider,case-study,2024-08-08,Defense Evasion,LLM Prompt Obfuscation,Microsoft 365 Copilot,Zenity,
AML.CS0026,Financial Transaction Hijacking with M365 Copilot as an Insider,case-study,2024-08-08,Persistence,RAG Poisoning,Microsoft 365 Copilot,Zenity,
AML.CS0026,Financial Transaction Hijacking with M365 Copilot as an Insider,case-study,2024-08-08,Defense Evasion,False RAG Entry Injection,Microsoft 365 Copilot,Zenity,
AML.CS0026,Financial Transaction Hijacking with M365 Copilot as an Insider,case-study,2024-08-08,Execution,Indirect,Microsoft 365 Copilot,Zenity,AI Telemetry Logging
AML.CS0026,Financial Transaction Hijacking with M365 Copilot as an Insider,case-study,2024-08-08,Privilege Escalation,LLM Plugin Compromise,Microsoft 365 Copilot,Zenity,Generative AI Model Alignment
AML.CS0026,Financial Transaction Hijacking with M365 Copilot as an Insider,case-study,2024-08-08,Defense Evasion,Citations,Microsoft 365 Copilot,Zenity,
AML.CS0026,Financial Transaction Hijacking with M365 Copilot as an Insider,case-study,2024-08-08,Impact,Financial Harm,Microsoft 365 Copilot,Zenity,
AML.CS0027,Organization Confusion on Hugging Face,case-study,2023-08-23,Resource Development,Establish Accounts,Hugging Face users,threlfall_hax,
AML.CS0027,Organization Confusion on Hugging Face,case-study,2023-08-23,Defense Evasion,Impersonation,Hugging Face users,threlfall_hax,
AML.CS0027,Organization Confusion on Hugging Face,case-study,2023-08-23,AI Model Access,Full AI Model Access,Hugging Face users,threlfall_hax,AI Model Distribution Methods
AML.CS0027,Organization Confusion on Hugging Face,case-study,2023-08-23,Impact,AI Intellectual Property Theft,Hugging Face users,threlfall_hax,Encrypt Sensitive Information
AML.CS0027,Organization Confusion on Hugging Face,case-study,2023-08-23,AI Attack Staging,Embed Malware,Hugging Face users,threlfall_hax,
AML.CS0027,Organization Confusion on Hugging Face,case-study,2023-08-23,Resource Development,Publish Poisoned Models,Hugging Face users,threlfall_hax,AI Bill of Materials
AML.CS0027,Organization Confusion on Hugging Face,case-study,2023-08-23,Initial Access,Model,Hugging Face users,threlfall_hax,AI Model Distribution Methods
AML.CS0027,Organization Confusion on Hugging Face,case-study,2023-08-23,Execution,Unsafe AI Artifacts,Hugging Face users,threlfall_hax,AI Bill of Materials
AML.CS0027,Organization Confusion on Hugging Face,case-study,2023-08-23,Defense Evasion,Masquerading,Hugging Face users,threlfall_hax,
AML.CS0027,Organization Confusion on Hugging Face,case-study,2023-08-23,Command and Control,Reverse Shell,Hugging Face users,threlfall_hax,
AML.CS0027,Organization Confusion on Hugging Face,case-study,2023-08-23,Credential Access,Unsecured Credentials,Hugging Face users,threlfall_hax,
AML.CS0027,Organization Confusion on Hugging Face,case-study,2023-08-23,Exfiltration,Exfiltration via Cyber Means,Hugging Face users,threlfall_hax,Control Access to AI Models and Data at Rest
AML.CS0027,Organization Confusion on Hugging Face,case-study,2023-08-23,Discovery,Discover AI Artifacts,Hugging Face users,threlfall_hax,Encrypt Sensitive Information
AML.CS0027,Organization Confusion on Hugging Face,case-study,2023-08-23,Resource Development,Adversarial AI Attack Implementations,Hugging Face users,threlfall_hax,
AML.CS0027,Organization Confusion on Hugging Face,case-study,2023-08-23,AI Attack Staging,Poison AI Model,Hugging Face users,threlfall_hax,Maintain AI Dataset Provenance
AML.CS0027,Organization Confusion on Hugging Face,case-study,2023-08-23,Impact,External Harms,Hugging Face users,threlfall_hax,
AML.CS0028,AI Model Tampering via Supply Chain Attack,case-study,2023-09-26,Reconnaissance,Search Application Repositories,Private Container Registries,Trend Micro Nebula Cloud Research Team,Limit Public Release of Information
AML.CS0028,AI Model Tampering via Supply Chain Attack,case-study,2023-09-26,Initial Access,Exploit Public-Facing Application,Private Container Registries,Trend Micro Nebula Cloud Research Team,
AML.CS0028,AI Model Tampering via Supply Chain Attack,case-study,2023-09-26,Discovery,Discover AI Artifacts,Private Container Registries,Trend Micro Nebula Cloud Research Team,Encrypt Sensitive Information
AML.CS0028,AI Model Tampering via Supply Chain Attack,case-study,2023-09-26,AI Model Access,Full AI Model Access,Private Container Registries,Trend Micro Nebula Cloud Research Team,AI Model Distribution Methods
AML.CS0028,AI Model Tampering via Supply Chain Attack,case-study,2023-09-26,Impact,AI Intellectual Property Theft,Private Container Registries,Trend Micro Nebula Cloud Research Team,Encrypt Sensitive Information
AML.CS0028,AI Model Tampering via Supply Chain Attack,case-study,2023-09-26,Persistence,Poison AI Model,Private Container Registries,Trend Micro Nebula Cloud Research Team,Maintain AI Dataset Provenance
AML.CS0028,AI Model Tampering via Supply Chain Attack,case-study,2023-09-26,Persistence,Modify AI Model Architecture,Private Container Registries,Trend Micro Nebula Cloud Research Team,Validate AI Model
AML.CS0028,AI Model Tampering via Supply Chain Attack,case-study,2023-09-26,Initial Access,Container Registry,Private Container Registries,Trend Micro Nebula Cloud Research Team,
AML.CS0028,AI Model Tampering via Supply Chain Attack,case-study,2023-09-26,Impact,Evade AI Model,Private Container Registries,Trend Micro Nebula Cloud Research Team,Adversarial Input Detection
AML.CS0029,Google Bard Conversation Exfiltration,case-study,2023-11-23,Resource Development,LLM Prompt Crafting,Google Bard,Embrace the Red,
AML.CS0029,Google Bard Conversation Exfiltration,case-study,2023-11-23,Resource Development,Acquire Infrastructure,Google Bard,Embrace the Red,
AML.CS0029,Google Bard Conversation Exfiltration,case-study,2023-11-23,Resource Development,Develop Capabilities,Google Bard,Embrace the Red,
AML.CS0029,Google Bard Conversation Exfiltration,case-study,2023-11-23,Initial Access,Exploit Public-Facing Application,Google Bard,Embrace the Red,
AML.CS0029,Google Bard Conversation Exfiltration,case-study,2023-11-23,Execution,Indirect,Google Bard,Embrace the Red,AI Telemetry Logging
AML.CS0029,Google Bard Conversation Exfiltration,case-study,2023-11-23,Exfiltration,LLM Response Rendering,Google Bard,Embrace the Red,
AML.CS0029,Google Bard Conversation Exfiltration,case-study,2023-11-23,Impact,User Harm,Google Bard,Embrace the Red,
AML.CS0030,LLM Jacking,case-study,2024-05-06,Initial Access,Exploit Public-Facing Application,Cloud-Based LLM Services,Unknown,
AML.CS0030,LLM Jacking,case-study,2024-05-06,Credential Access,Unsecured Credentials,Cloud-Based LLM Services,Unknown,
AML.CS0030,LLM Jacking,case-study,2024-05-06,Initial Access,Valid Accounts,Cloud-Based LLM Services,Unknown,
AML.CS0030,LLM Jacking,case-study,2024-05-06,Resource Development,Software Tools,Cloud-Based LLM Services,Unknown,
AML.CS0030,LLM Jacking,case-study,2024-05-06,Discovery,Cloud Service Discovery,Cloud-Based LLM Services,Unknown,
AML.CS0030,LLM Jacking,case-study,2024-05-06,Resource Development,Software Tools,Cloud-Based LLM Services,Unknown,
AML.CS0030,LLM Jacking,case-study,2024-05-06,Impact,Financial Harm,Cloud-Based LLM Services,Unknown,
AML.CS0031,Malicious Models on Hugging Face,case-study,2025-02-25,AI Attack Staging,Embed Malware,Hugging Face users,Unknown,
AML.CS0031,Malicious Models on Hugging Face,case-study,2025-02-25,Resource Development,Publish Poisoned Models,Hugging Face users,Unknown,AI Bill of Materials
AML.CS0031,Malicious Models on Hugging Face,case-study,2025-02-25,Defense Evasion,Corrupt AI Model,Hugging Face users,Unknown,
AML.CS0031,Malicious Models on Hugging Face,case-study,2025-02-25,Initial Access,AI Supply Chain Compromise,Hugging Face users,Unknown,Generative AI Guardrails
AML.CS0031,Malicious Models on Hugging Face,case-study,2025-02-25,Execution,Unsafe AI Artifacts,Hugging Face users,Unknown,AI Bill of Materials
AML.CS0031,Malicious Models on Hugging Face,case-study,2025-02-25,Command and Control,Reverse Shell,Hugging Face users,Unknown,
